Duration;Src IP Addr;Src Pt;Dst IP Addr;Dst Pt;Packets;class;P;F
13.97;3972;1354;10018;22.0;13;1;1;1
0.98;7870;63916;10018;22.0;6;1;1;1
121.349;10079;22;7;11304.0;10;1;1;1
7.436;10079;22;8;57615.0;4;1;0;0
7.212;11;31616;10018;22.0;8;1;1;1
12.85;9535;25021;10018;22.0;18;1;1;1
11.139;10079;22;16;39662.0;20;1;1;1
10.275;79;38361;10018;22.0;14;1;1;1
9.551;10079;22;8;63523.0;10;1;1;0
43.077;10079;23;8479;25191.0;3;1;0;0
18.659;1137;41020;10018;22.0;24;1;1;1
0.059;10079;8000;10019;64493.0;7;0;1;1
0.108;10079;8000;10019;49192.0;9;0;1;1
20.112;10079;22;1137;14349.0;26;1;1;1
16.972;10079;22;8447;13534.0;26;1;1;1
0.05;10080;52335;10018;8000.0;6;0;1;1
0.057;10079;8000;10019;55664.0;7;0;1;1
13.048;936;25092;10018;22.0;16;1;1;1
121.949;10079;22;8;14357.0;8;1;1;1
0.065;10080;58790;10018;8000.0;6;0;1;1
5.648;11;29889;10018;22.0;7;1;1;1
0.083;10080;63965;10018;8000.0;6;0;1;1
0.0;436;45723;10018;33399.0;1;1;0;0
0.083;10080;60543;10018;8000.0;6;0;1;1
0.052;1487;53281;10018;3529.0;2;1;0;0
1.314;10079;445;8358;53263.0;3;1;0;0
0.0;10079;587;1781;57906.0;1;1;0;0
12.184;23;34741;10018;22.0;18;1;1;1
12.915;10079;22;11;17858.0;24;1;1;1
0.0;6159;7334;10018;2323.0;1;1;0;0
9.052;11;36090;10018;22.0;17;1;1;1
0.052;10079;8000;10019;50604.0;7;0;1;1
8.843;23;54364;10018;22.0;17;1;1;1
17.212;10079;22;4718;55966.0;26;1;1;1
0.0;6092;34648;10018;5358.0;1;1;0;0
0.06;10079;8000;10019;54753.0;7;0;1;1
7.477;6018;57123;10018;22.0;11;1;1;1
0.078;10080;65438;10018;8000.0;6;0;1;1
10.391;14;36500;10018;22.0;15;1;1;1
9.506;10079;22;23;47602.0;19;1;1;1
7.182;8;32068;10018;22.0;8;1;1;1
0.088;10079;8000;10019;1195.0;7;0;1;1
0.0;6578;0;10018;0.0;1;1;0;0
24.833;10079;22;4687;38701.0;26;1;1;1
0.344;10079;22;7356;30467.0;1;1;0;0
0.502;786;52271;10018;22.0;2;1;0;0
2.711;479;41401;10018;22.0;13;1;1;1
0.0;3781;1951;10018;5358.0;1;1;0;0
8.21;77;39847;10018;22.0;17;1;1;1
0.08;10079;8000;10019;65213.0;7;0;1;1
6.026;6018;14838;10018;22.0;11;1;1;1
0.065;10079;8000;10019;58611.0;7;0;1;1
9.798;10079;22;24;51857.0;19;1;1;1
0.0;2169;62113;10018;23.0;1;1;0;0
2.18;3569;41445;10018;22.0;12;1;1;1
23.329;10079;22;4718;21144.0;26;1;1;1
0.051;10079;8000;10019;49658.0;7;0;1;1
0.061;10080;58017;10018;8000.0;6;0;1;1
0.052;10079;8000;10019;58981.0;7;0;1;1
9.657;10079;22;78;33690.0;19;1;1;1
120.473;8;14060;10018;22.0;5;1;1;1
0.0;10079;0;228;3.3;1;1;0;0
12.211;8;13413;10018;22.0;5;1;1;0
0.0;4624;54710;10018;23.0;1;1;0;0
0.0;4642;7175;10018;23.0;1;1;0;0
10.212;10079;22;28;48907.0;19;1;1;1
0.056;10079;8000;10019;51376.0;7;0;1;1
0.952;10079;22;7826;37878.0;5;1;1;1
0.092;10079;8000;10019;60346.0;7;0;1;1
13.589;9355;3177;10018;22.0;15;1;1;0
0.052;10079;8000;10019;53303.0;7;0;1;1
0.332;10079;22;5895;11229.0;1;1;0;0
0.047;10079;8000;10019;54951.0;7;0;1;1
9.467;27;52416;10018;22.0;15;1;1;1
0.048;10079;8000;10019;51346.0;7;0;1;1
0.037;10080;64117;10018;8000.0;6;0;1;1
9.779;78;50657;10018;22.0;15;1;1;1
0.064;10080;49692;10018;8000.0;6;0;1;1
0.05;10080;57828;10018;8000.0;6;0;1;1
13.609;9355;3768;10018;22.0;16;1;1;0
8.854;10079;22;24;46925.0;19;1;1;1
0.067;10079;8000;10019;65000.0;7;0;1;1
0.097;10079;8000;10019;61657.0;7;0;1;1
8.58;17;54904;10018;22.0;17;1;1;1
135.074;10080;53701;10018;8000.0;4;0;0;1
7.758;10079;22;78;38310.0;20;1;1;1
0.997;10079;8000;10019;64715.0;7;0;1;1
0.0;2532;57278;10018;2078.0;1;1;0;0
0.054;10080;52648;10018;8000.0;6;0;1;1
0.0;4723;50983;10018;23.0;1;1;0;0
0.001;10079;23;9711;54208.0;1;1;0;0
19.773;1137;42597;10018;22.0;24;1;1;1
20.196;1137;14260;10018;22.0;24;1;1;1
0.053;10080;60113;10018;8000.0;6;0;1;1
0.097;10080;58973;10018;8000.0;6;0;1;1
0.054;10080;50039;10018;8000.0;6;0;1;1
